rank,clade,n,intra_avg_euclidean,intra_median_euclidean,intra_std_euclidean,intra_min_euclidean,intra_max_euclidean,intra_avg_shared_proteins,intra_median_shared_proteins,intra_std_shared_proteins,intra_min_shared_proteins,intra_max_shared_proteins
Order,Autographivirales,698,9.02,9.06,1.89,1.0,16.34,0.12,0.07,0.12,0.0,0.98
Order,Bardichvirales,240,8.84,9.0,0.93,3.0,11.18,0.14,0.11,0.1,0.02,0.87
Order,Thumleimavirales,413,11.81,11.31,3.52,1.73,22.58,0.1,0.07,0.12,0.0,0.98
Order,Vilmavirales,788,10.75,10.86,1.7,1.73,18.44,0.1,0.08,0.1,0.0,0.96
Order,Drexlervirales,359,9.85,10.0,1.28,3.0,13.27,0.12,0.08,0.11,0.0,0.83
Order,Dirkvirales,34,9.24,9.7,1.96,3.74,12.65,0.21,0.09,0.2,0.03,0.8
Order,Excaliburvirales,26,7.9,8.06,0.94,4.47,9.75,0.19,0.16,0.13,0.01,0.63
Order,Bayonettevirales,153,10.59,11.0,1.53,3.46,13.53,0.13,0.07,0.14,0.01,0.84
Order,Jambiyavirales,21,4.71,5.1,1.02,1.41,6.24,0.29,0.19,0.19,0.03,0.91
Order,Demerecvirales,361,16.01,16.28,2.9,3.16,23.96,0.09,0.06,0.12,0.01,0.94
Order,Labrysvirales,33,7.06,7.21,0.84,3.16,8.54,0.13,0.09,0.11,0.01,0.72
Order,Strabovirales,595,17.22,17.64,3.81,1.73,34.28,0.12,0.08,0.14,0.0,0.93
Order,Dunevirales,13,6.88,7.07,1.29,3.74,8.66,0.2,0.13,0.18,0.05,0.74
Order,Guelinvirales,6,3.39,3.46,0.55,2.45,4.24,0.44,0.4,0.14,0.24,0.67
Order,Madridvirales,19,3.51,3.46,0.67,1.73,5.29,0.25,0.24,0.12,0.05,0.7
Order,Salasmavirales,13,4.47,4.42,0.88,2.45,6.63,0.33,0.3,0.16,0.11,0.73
Order,Schitovirales,108,8.87,8.94,1.12,3.46,11.7,0.21,0.19,0.1,0.02,0.79
Order,Methanobavirales,5,3.98,4.18,0.75,2.65,4.9,0.21,0.19,0.1,0.08,0.42
Order,Crassvirales,104,9.28,9.38,1.3,3.0,12.57,0.12,0.09,0.11,0.01,0.81
Order,Graavivirales,6,6.62,6.71,0.54,5.29,7.28,0.15,0.13,0.08,0.06,0.34
Order,Haloferuvirales,3,6.52,6.48,0.31,6.16,6.93,0.22,0.2,0.05,0.17,0.29
Order,Rountreevirales,15,4.23,4.24,0.59,2.0,5.29,0.4,0.41,0.15,0.12,0.75
Order,Fervensvirales,5,4.71,5.34,1.03,2.83,5.57,0.24,0.12,0.21,0.06,0.64
Order,Pungovirales,2,6.0,6.0,0.0,6.0,6.0,0.15,0.15,0.0,0.15,0.15
Family,Arbalestviridae,139,8.87,9.0,1.13,3.16,11.22,0.31,0.28,0.11,0.14,0.84
Family,Bombardviridae,47,8.02,8.43,1.29,3.61,10.39,0.29,0.23,0.15,0.08,0.82
Family,Bo-Shurikenviridae,46,6.91,6.0,1.85,3.61,11.0,0.55,0.66,0.2,0.23,0.88
Family,Bowieviridae,46,8.04,8.54,1.45,3.61,10.3,0.33,0.27,0.16,0.12,0.85
Family,Cannonballviridae,38,9.06,9.33,1.98,3.74,13.78,0.29,0.21,0.16,0.12,0.77
Family,Catapultviridae,36,4.84,4.8,0.72,2.45,6.93,0.49,0.51,0.13,0.11,0.85
Family,Chakramviridae,33,8.06,8.25,1.21,2.83,10.44,0.27,0.23,0.12,0.13,0.81
Family,Chukonuviridae,29,8.43,8.6,1.32,4.36,11.0,0.32,0.3,0.15,0.08,0.73
Family,Cutlassviridae,24,5.29,5.05,1.23,2.83,8.19,0.6,0.63,0.15,0.24,0.86
Family,Daneaxeviridae,23,6.45,6.16,1.46,3.16,9.06,0.47,0.52,0.18,0.14,0.84
Family,Derringerviridae,21,7.31,7.28,0.6,5.66,9.0,0.43,0.43,0.07,0.26,0.63
Family,Dirkviridae,21,7.69,7.75,1.42,4.36,10.63,0.39,0.36,0.17,0.15,0.8
Family,Excaliburviridae,19,7.65,7.94,1.04,4.47,9.64,0.26,0.22,0.13,0.12,0.63
Family,Falchionviridae,18,6.96,7.21,1.02,4.12,8.89,0.31,0.28,0.13,0.15,0.7
Family,Falconetviridae,17,8.21,8.25,1.11,4.8,9.95,0.26,0.23,0.12,0.13,0.7
Family,Fauchardviridae,16,7.84,8.21,1.55,4.36,10.15,0.35,0.26,0.16,0.16,0.72
Family,Gladiusviridae,15,6.98,7.07,1.24,4.0,9.38,0.39,0.38,0.16,0.15,0.71
Family,Glaiveviridae,15,7.08,7.21,0.99,4.36,8.66,0.39,0.36,0.13,0.19,0.71
Family,Glockviridae,15,8.71,8.89,1.35,5.2,10.77,0.29,0.26,0.14,0.12,0.71
Family,Gramrviridae,13,7.46,7.55,1.52,3.16,9.59,0.3,0.24,0.17,0.11,0.81
Family,Grenadeviridae,12,8.14,8.46,1.12,4.58,9.9,0.33,0.27,0.12,0.17,0.65
Family,Atlatlviridae,95,5.64,5.66,0.62,1.73,7.81,0.53,0.53,0.08,0.2,0.96
Family,Howitzerviridae,11,5.65,5.83,0.69,3.61,6.78,0.48,0.47,0.11,0.27,0.77
Family,Jambiyaviridae,10,4.05,4.12,0.62,2.0,5.0,0.35,0.32,0.15,0.15,0.75
Family,Javelinviridae,10,8.85,9.64,1.91,5.39,11.31,0.32,0.18,0.2,0.12,0.75
Family,Kamikazeviridae,9,5.94,5.7,0.87,4.36,7.42,0.45,0.48,0.14,0.2,0.67
Family,Katanaviridae,9,6.88,7.07,0.8,4.36,8.0,0.27,0.23,0.1,0.17,0.61
Family,Kukriviridae,9,6.04,6.48,1.14,3.61,7.55,0.37,0.28,0.18,0.17,0.73
Family,Kusanagiviridae,9,6.78,6.78,0.95,3.16,8.19,0.32,0.32,0.13,0.17,0.81
Family,Labrysviridae,7,6.32,6.4,0.58,4.58,7.0,0.25,0.23,0.09,0.15,0.54
Family,Laevateinnviridae,7,5.05,5.0,0.67,3.46,6.16,0.39,0.34,0.1,0.24,0.59
Family,Macheteviridae,6,5.99,6.24,0.91,3.74,7.07,0.34,0.29,0.13,0.19,0.66
Family,Mangonelviridae,6,7.39,7.42,0.54,6.63,8.43,0.29,0.29,0.08,0.19,0.46
Family,Matchlockviridae,6,7.05,7.28,1.49,4.58,9.22,0.44,0.42,0.19,0.18,0.74
Family,Mjï¿½lnirviridae,5,6.88,6.93,0.54,5.83,7.48,0.3,0.28,0.07,0.23,0.45
Family,Bardicheviridae,62,8.02,8.06,1.01,3.0,10.49,0.3,0.28,0.11,0.09,0.87
Family,Molotovviridae,5,6.55,6.59,0.84,4.47,7.68,0.38,0.37,0.11,0.25,0.67
Family,Mortarviridae,5,10.92,11.77,1.63,8.66,13.08,0.32,0.27,0.13,0.19,0.67
Family,Naginataviridae,5,6.25,6.56,1.33,4.0,7.75,0.41,0.3,0.18,0.24,0.74
