Leaves,Order,Family,Subfamily,Genus,Family Definition
NC_022086,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_042331,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_028802,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_028897,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_054775,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_054778,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_041984,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_022984,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_054777,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_054776,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_042337,Autographivirales,Arbalestviridae,Thalassavirinae,Fromanvirus_5,Newly defined
NC_042335,Autographivirales,Arbalestviridae,Thalassavirinae,Fromanvirus_5,Newly defined
NC_054791,Autographivirales,Arbalestviridae,Thalassavirinae,,Newly defined
NC_042312,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_042333,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_028912,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_028960,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_054774,Autographivirales,Arbalestviridae,Thalassavirinae,Benedictvirus,Newly defined
NC_054788,Autographivirales,Arbalestviridae,Cressidavirinae,,Newly defined
NC_054789,Autographivirales,Arbalestviridae,Cressidavirinae,Timshelvirus,Newly defined
NC_041983,Autographivirales,Arbalestviridae,Cressidavirinae,Timshelvirus,Newly defined
NC_021308,Autographivirales,Arbalestviridae,Cressidavirinae,Timshelvirus,Newly defined
NC_042340,Autographivirales,Arbalestviridae,Cressidavirinae,Fromanvirus_4,Newly defined
NC_042341,Autographivirales,Arbalestviridae,Cressidavirinae,Fromanvirus_4,Newly defined
NC_041982,Autographivirales,Arbalestviridae,Cressidavirinae,Fromanvirus_4,Newly defined
NC_028914,Autographivirales,Arbalestviridae,Cressidavirinae,Kimonavirus,Newly defined
NC_054793,Autographivirales,Arbalestviridae,Cressidavirinae,Kimonavirus,Newly defined
NC_054796,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_054795,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_023745,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_054800,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_042339,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_023562,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_054797,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_054799,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_017973,Autographivirales,Arbalestviridae,Cressidavirinae,Fromanvirus_2,Newly defined
NC_008203,Autographivirales,Arbalestviridae,Cressidavirinae,Fromanvirus_2,Newly defined
NC_001900,Autographivirales,Arbalestviridae,Cressidavirinae,Fromanvirus_2,Newly defined
NC_011023,Autographivirales,Arbalestviridae,Cressidavirinae,Pukovnikvirus,Newly defined
NC_054814,Autographivirales,Arbalestviridae,Cressidavirinae,Pukovnikvirus,Newly defined
NC_031279,Autographivirales,Arbalestviridae,Cressidavirinae,Pukovnikvirus,Newly defined
NC_054815,Autographivirales,Arbalestviridae,Cressidavirinae,Pukovnikvirus,Newly defined
NC_054808,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_028794,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_023707,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_054807,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_031263,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_054812,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_054805,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_054809,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_054811,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_054810,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_022985,Autographivirales,Arbalestviridae,Cressidavirinae,Gladiatorvirus,Newly defined
NC_022965,Autographivirales,Arbalestviridae,Cressidavirinae,Gladiatorvirus,Newly defined
NC_054779,Autographivirales,Arbalestviridae,Cressidavirinae,Gladiatorvirus,Newly defined
NC_054780,Autographivirales,Arbalestviridae,Cressidavirinae,Gladiatorvirus,Newly defined
NC_042330,Autographivirales,Arbalestviridae,Cressidavirinae,Gladiatorvirus,Newly defined
NC_054781,Autographivirales,Arbalestviridae,Cressidavirinae,Gladiatorvirus,Newly defined
NC_001335,Autographivirales,Arbalestviridae,Cressidavirinae,Fromanvirus_2,Newly defined
NC_055817,Autographivirales,Arbalestviridae,Cressidavirinae,Luchadorvirus,Newly defined
NC_055858,Autographivirales,Arbalestviridae,Cressidavirinae,Luchadorvirus,Newly defined
NC_025444,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_023731,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_054813,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_028877,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_054806,Autographivirales,Arbalestviridae,Cressidavirinae,Turbidovirus,Newly defined
NC_028849,Autographivirales,Arbalestviridae,Cressidavirinae,Luchadorvirus,Newly defined
NC_042309,Autographivirales,Arbalestviridae,Cressidavirinae,Gladiatorvirus,Newly defined
NC_023564,Autographivirales,Arbalestviridae,Cressidavirinae,Eagleeyevirus,Newly defined
NC_054798,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_013694,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_054794,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_054802,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_054803,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_054804,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_042308,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_054801,Autographivirales,Arbalestviridae,Cressidavirinae,Backyardiganvirus,Newly defined
NC_042036,Autographivirales,Arbalestviridae,Cressidavirinae,Veracruzvirus,Newly defined
NC_021533,Autographivirales,Arbalestviridae,Cressidavirinae,Veracruzvirus,Newly defined
NC_054771,Autographivirales,Arbalestviridae,Cressidavirinae,Veracruzvirus,Newly defined
NC_042328,Autographivirales,Arbalestviridae,Cressidavirinae,Veracruzvirus,Newly defined
NC_054772,Autographivirales,Arbalestviridae,Cressidavirinae,Veracruzvirus,Newly defined
NC_054773,Autographivirales,Arbalestviridae,Cressidavirinae,Veracruzvirus,Newly defined
NC_024148,Autographivirales,Arbalestviridae,Cressidavirinae,Veracruzvirus,Newly defined
NC_054770,Autographivirales,Arbalestviridae,Cressidavirinae,Veracruzvirus,Newly defined
NC_054761,Autographivirales,Arbalestviridae,Cressidavirinae,Microwolfvirus,Newly defined
NC_023607,Autographivirales,Arbalestviridae,Cressidavirinae,Eagleeyevirus,Newly defined
NC_023716,Autographivirales,Arbalestviridae,Cressidavirinae,Fromanvirus_3,Newly defined
NC_042314,Autographivirales,Arbalestviridae,Cressidavirinae,Fromanvirus_3,Newly defined
NC_054783,Autographivirales,Arbalestviridae,Cressidavirinae,Fromanvirus_3,Newly defined
NC_054784,Autographivirales,Arbalestviridae,Cressidavirinae,Pharaohvirus,Newly defined
NC_054787,Autographivirales,Arbalestviridae,Cressidavirinae,Pharaohvirus,Newly defined
NC_042318,Autographivirales,Arbalestviridae,Cressidavirinae,Gladiatorvirus,Newly defined
NC_054786,Autographivirales,Arbalestviridae,Cressidavirinae,Pharaohvirus,Newly defined
NC_054785,Autographivirales,Arbalestviridae,Cressidavirinae,,Newly defined
NC_004682,Autographivirales,Arbalestviridae,Cressidavirinae,Microwolfvirus,Newly defined
NC_054759,Autographivirales,Arbalestviridae,Cressidavirinae,Microwolfvirus,Newly defined
NC_042310,Autographivirales,Arbalestviridae,Cressidavirinae,Microwolfvirus,Newly defined
NC_042311,Autographivirales,Arbalestviridae,Cressidavirinae,Microwolfvirus,Newly defined
NC_054760,Autographivirales,Arbalestviridae,Cressidavirinae,Microwolfvirus,Newly defined
NC_054790,Autographivirales,Arbalestviridae,Cressidavirinae,,Newly defined
NC_042334,Autographivirales,Arbalestviridae,Cressidavirinae,Gladiatorvirus,Newly defined
NC_054782,Autographivirales,Arbalestviridae,Cressidavirinae,Gladiatorvirus,Newly defined
NC_004616,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_2,Newly defined
