rank,clade,n,intra_avg_euclidean,intra_median_euclidean,intra_std_euclidean,intra_min_euclidean,intra_max_euclidean,intra_avg_shared_proteins,intra_median_shared_proteins,intra_std_shared_proteins,intra_min_shared_proteins,intra_max_shared_proteins
Order,Bolasvirales,35,4.92,4.9,0.63,2.65,6.93,0.5,0.5,0.11,0.13,0.83
Order,Kestrosvirales,7,6.48,5.66,1.6,4.9,9.49,0.5,0.6,0.2,0.16,0.69
Order,Sarissavirales,6,5.84,5.0,1.41,4.47,8.12,0.47,0.59,0.21,0.17,0.66
Order,Axehammervirales,3,6.15,7.21,1.7,3.74,7.48,0.33,0.16,0.26,0.14,0.7
Order,Gatlingvirales,3,5.65,6.24,0.84,4.47,6.24,0.29,0.18,0.18,0.13,0.54
Order,Bombardvirales,71,9.3,9.38,1.13,3.32,11.83,0.2,0.16,0.11,0.05,0.85
Order,Tantovirales,2,6.4,6.4,0.0,6.4,6.4,0.33,0.33,0.0,0.33,0.33
Order,Bovirales,2,6.56,6.56,0.0,6.56,6.56,0.2,0.2,0.0,0.2,0.2
Order,Madisavirales,6,7.53,7.48,0.77,6.4,9.11,0.17,0.15,0.06,0.09,0.31
Order,Ekuvirales,29,8.59,8.54,1.34,4.47,10.86,0.31,0.3,0.14,0.07,0.72
Order,Arquebusvirales,244,9.11,9.59,1.69,0.0,11.75,0.22,0.16,0.17,0.02,1.0
Order,Shotelvirales,26,5.5,5.0,1.72,2.65,9.95,0.56,0.62,0.19,0.1,0.86
Order,Katarvirales,2,8.43,8.43,0.0,8.43,8.43,0.31,0.31,0.0,0.31,0.31
Order,Xiphosvirales,17,7.05,6.6,2.2,3.0,10.15,0.3,0.25,0.23,0.06,0.78
Order,Vilmavirales,63,12.38,12.57,2.29,3.61,17.61,0.18,0.13,0.15,0.04,0.85
Order,Uluvirales,14,6.17,6.16,0.55,4.9,7.55,0.52,0.51,0.06,0.4,0.66
Order,Chakrivirales,13,6.51,6.48,1.27,3.32,9.33,0.46,0.48,0.19,0.06,0.85
Order,Hungamungavirales,12,5.83,5.79,1.01,3.46,7.94,0.44,0.45,0.15,0.16,0.79
Order,Sagarisvirales,10,6.56,6.93,1.23,3.87,8.25,0.26,0.14,0.19,0.09,0.66
Order,Jittevirales,9,8.14,8.75,1.8,3.32,10.2,0.27,0.16,0.22,0.09,0.8
Order,Mizrakvirales,8,6.52,7.28,1.52,3.87,8.72,0.3,0.16,0.21,0.08,0.7
Order,Doryvirales,8,5.51,5.56,1.26,3.74,7.48,0.43,0.53,0.22,0.15,0.7
Order,Krisvirales,7,9.14,9.27,1.54,3.87,10.68,0.19,0.14,0.13,0.09,0.66
Order,Nagamakivirales,6,5.67,5.29,1.13,4.36,7.28,0.46,0.55,0.2,0.18,0.69
Order,Mancatchervirales,5,7.17,7.55,1.06,4.9,8.19,0.62,0.59,0.1,0.5,0.83
Order,Shuanggouvirales,5,7.71,6.56,2.55,4.47,10.95,0.44,0.53,0.27,0.12,0.81
Order,Trisulavirales,4,8.57,8.89,0.74,7.0,9.22,0.19,0.15,0.07,0.15,0.35
Order,Retiariusvirales,4,6.37,6.36,0.79,5.2,7.35,0.55,0.53,0.08,0.45,0.67
Order,Patavirales,4,10.31,10.46,1.14,8.25,11.75,0.53,0.53,0.06,0.45,0.62
Order,Koravirales,4,6.71,6.7,0.56,6.08,7.68,0.61,0.61,0.07,0.49,0.68
Order,Pigervirales,18,8.82,8.43,2.63,3.46,13.56,0.15,0.05,0.21,0.01,0.75
Order,Tetsubovirales,3,3.91,3.87,0.26,3.61,4.24,0.39,0.38,0.07,0.31,0.48
Order,Pantevenvirales,521,18.74,19.03,4.98,2.83,81.16,0.14,0.09,0.14,0.02,0.95
Order,Tabarzinvirales,3,12.54,12.49,0.33,12.17,12.96,0.13,0.13,0.02,0.1,0.14
Order,Dahvirales,3,7.62,7.62,0.11,7.48,7.75,0.19,0.19,0.01,0.17,0.19
Order,Amentumvirales,25,12.17,11.36,2.74,7.48,16.09,0.42,0.51,0.23,0.14,0.79
Order,Crassvirales,75,9.02,9.17,1.19,4.12,12.08,0.17,0.12,0.11,0.04,0.77
Order,Assiduvirales,8,7.87,7.94,1.13,4.0,9.33,0.18,0.15,0.13,0.08,0.65
Order,Tambovirales,2,7.42,7.42,0.0,7.42,7.42,0.57,0.57,0.0,0.57,0.57
Order,Tjotjovirales,2,7.28,7.28,0.0,7.28,7.28,0.18,0.18,0.0,0.18,0.18
Order,Catapultvirales,29,6.62,5.92,1.73,3.0,10.15,0.42,0.52,0.22,0.07,0.87
Order,Chakramvirales,22,6.59,6.24,1.33,3.87,9.11,0.44,0.48,0.16,0.13,0.78
Order,Chukonuvirales,21,11.55,12.73,2.66,5.83,14.53,0.33,0.2,0.22,0.13,0.8
Order,Drexlervirales,134,8.84,9.0,1.4,3.74,12.04,0.28,0.27,0.15,0.04,0.84
Order,Crossbowvirales,21,7.87,8.0,1.41,3.74,11.0,0.39,0.37,0.17,0.15,0.81
Order,Cutlassvirales,23,13.28,13.42,2.1,4.69,16.61,0.25,0.16,0.16,0.1,0.71
Order,Daovirales,31,7.38,7.62,1.22,4.0,9.49,0.27,0.19,0.17,0.07,0.77
Order,Derringervirales,19,7.68,8.06,1.09,4.0,9.43,0.27,0.21,0.14,0.1,0.67
Order,Dirkvirales,16,7.85,8.28,1.54,3.74,10.05,0.35,0.26,0.16,0.17,0.77
Order,Durandalvirales,27,8.19,8.54,1.35,4.0,10.58,0.22,0.14,0.16,0.05,0.72
Order,Dynamitevirales,15,7.2,7.42,1.03,4.0,8.83,0.38,0.37,0.14,0.13,0.74
Order,Pilumvirales,119,8.87,9.0,1.26,2.83,12.08,0.2,0.17,0.13,0.01,0.89
Order,Falchionvirales,15,7.06,7.14,1.39,4.8,9.85,0.38,0.35,0.17,0.14,0.68
Order,Falconetvirales,15,5.77,4.9,1.82,3.46,9.22,0.46,0.56,0.23,0.1,0.77
Order,Fauchardvirales,13,8.22,8.46,1.08,4.24,9.75,0.31,0.25,0.13,0.18,0.69
Order,Flintlockvirales,12,7.38,7.62,0.75,5.66,8.54,0.27,0.25,0.08,0.14,0.51
Order,Gladiusvirales,12,6.7,6.6,1.42,3.32,9.64,0.42,0.39,0.15,0.19,0.76
Order,Glaivevirales,12,8.84,9.33,1.93,3.74,11.45,0.31,0.22,0.18,0.13,0.76
Order,Glockvirales,12,7.76,8.03,1.3,5.39,9.7,0.32,0.26,0.14,0.17,0.67
Order,Grenadevirales,11,7.97,7.94,0.89,6.0,9.95,0.36,0.36,0.11,0.19,0.59
Order,Gungnirvirales,11,8.08,7.81,1.32,5.39,10.25,0.34,0.36,0.15,0.14,0.67
Order,Halberdvirales,10,6.12,6.4,1.04,4.0,7.68,0.43,0.35,0.16,0.21,0.72
Order,Howitzervirales,10,7.34,7.48,0.8,5.0,8.72,0.31,0.29,0.08,0.19,0.66
Order,Peduovirales,126,6.58,6.4,1.25,2.45,9.8,0.28,0.27,0.14,0.04,0.85
Order,Aliceevansvirales,150,6.6,6.78,1.37,1.73,10.05,0.33,0.29,0.18,0.03,0.93
Order,Ballistavirales,103,10.23,10.77,1.7,3.87,13.08,0.2,0.13,0.15,0.05,0.81
Order,Pungovirales,24,7.78,8.12,1.17,3.32,10.05,0.23,0.18,0.13,0.09,0.82
Order,Labrysvirales,7,4.83,5.1,0.63,3.46,5.66,0.4,0.35,0.1,0.28,0.61
Order,Laevateinnvirales,7,6.42,6.48,0.67,5.1,7.55,0.35,0.33,0.1,0.23,0.55
Order,Machetevirales,11,7.53,7.94,1.13,4.0,8.83,0.25,0.17,0.15,0.1,0.67
Order,Mangonelvirales,6,7.06,7.48,1.18,3.74,8.31,0.32,0.26,0.15,0.15,0.7
Order,Masamunevirales,6,7.13,7.07,0.64,6.08,8.37,0.29,0.28,0.07,0.19,0.42
Order,Mjï¿½lnirvirales,5,11.17,11.89,2.04,7.75,14.0,0.34,0.26,0.16,0.21,0.76
Order,Bardichevirales,46,7.14,6.16,2.07,3.32,11.14,0.53,0.63,0.21,0.19,0.89
Order,Muramasavirales,8,6.18,6.44,1.09,3.16,7.81,0.23,0.17,0.16,0.08,0.67
Order,Wakizashivirales,4,7.62,7.45,0.58,6.86,8.54,0.28,0.27,0.07,0.2,0.39
Order,Nerfvirales,4,8.14,8.24,1.38,6.08,9.59,0.39,0.36,0.14,0.24,0.58
Order,Oblivionvirales,4,7.35,7.41,1.07,5.83,8.54,0.34,0.34,0.13,0.2,0.52
Order,Onagervirales,4,7.23,7.1,1.9,5.1,9.43,0.39,0.38,0.23,0.14,0.64
Order,Pepperboxvirales,4,5.82,6.12,1.08,3.61,6.86,0.35,0.3,0.17,0.2,0.68
Order,Pugiovirales,4,5.43,5.66,0.94,3.46,6.48,0.39,0.36,0.19,0.2,0.72
Order,Arbalestvirales,164,9.95,10.0,1.59,3.16,12.73,0.28,0.26,0.17,0.05,0.91
Order,Poniardvirales,4,5.49,5.87,1.03,3.61,6.56,0.39,0.33,0.15,0.24,0.68
Order,Ripwingvirales,3,6.24,6.4,0.64,5.39,6.93,0.36,0.29,0.11,0.28,0.51
Order,Trojanvirales,2,7.14,7.14,0.0,7.14,7.14,0.22,0.22,0.0,0.22,0.22
Order,Scythevirales,3,6.87,7.07,0.45,6.24,7.28,0.24,0.23,0.04,0.19,0.29
Order,Tabarvirales,3,5.62,6.4,1.33,3.74,6.71,0.38,0.24,0.21,0.22,0.68
Order,Shrapnelvirales,3,5.87,6.63,1.24,4.12,6.86,0.43,0.31,0.17,0.3,0.67
Order,Nagantvirales,2,5.66,5.66,0.0,5.66,5.66,0.33,0.33,0.0,0.33,0.33
Order,Tomahawkvirales,3,10.2,10.68,0.77,9.11,10.82,0.27,0.26,0.04,0.22,0.33
Order,Stanwilliamsvirales,29,14.79,15.33,2.35,7.42,18.49,0.33,0.24,0.16,0.13,0.76
Order,Estocvirales,2,6.0,6.0,0.0,6.0,6.0,0.31,0.31,0.0,0.31,0.31
Order,Tepoztopillivirales,2,8.0,8.0,0.0,8.0,8.0,0.19,0.19,0.0,0.19,0.19
