protein,refseq_genbank_entry,predicted_pfam,pfam_definition,cluster_genome_accn,cluster_phage
DBA35375.1,DBA35375.1 TPA_asm: hypothetical protein vir080_00002 [Caudoviricetes sp. vir080],PF01051,Initiator Replication protein WH1,BK063677,Caudoviricetes sp. vir080
DBA35407.1,DBA35407.1 TPA_asm: hypothetical protein vir080_00034 [Caudoviricetes sp. vir080],PF09591,Protein of unknown function (DUF2463),BK063677,Caudoviricetes sp. vir080
DBA35433.1,DBA35433.1 TPA_asm: hypothetical protein vir080_00060 [Caudoviricetes sp. vir080],PF09008,Head binding,BK063677,Caudoviricetes sp. vir080
DBA35434.1,DBA35434.1 TPA_asm: hypothetical protein vir080_00061 [Caudoviricetes sp. vir080],PF04582,Reovirus sigma C capsid protein C-terminal domain,BK063677,Caudoviricetes sp. vir080
DBA35478.1,DBA35478.1 TPA_asm: hypothetical protein vir249_00033 [Caudoviricetes sp. vir249],PF11438,36-mer N-terminal peptide of the N protein (N36),BK063678,Caudoviricetes sp. vir249
DBA59575.1,DBA59575.1 TPA_asm: hypothetical protein CBHJFHIM_00014 [Methanobrevibacter gottschalkii virus vir075],PF04135,Nucleolar RNA-binding protein Nop10p family,BK068243,Methanobrevibacter gottschalkii virus vir075
DBA59603.1,DBA59603.1 TPA_asm: hypothetical protein CBHJFHIM_00043 [Methanobrevibacter gottschalkii virus vir075],PF10794,Protein of unknown function (DUF2606),BK068243,Methanobrevibacter gottschalkii virus vir075
DBA59604.1,DBA59604.1 TPA_asm: hypothetical protein CBHJFHIM_00044 [Methanobrevibacter gottschalkii virus vir075],PF11436,Protein of unknown function (DUF3199),BK068243,Methanobrevibacter gottschalkii virus vir075
NP_037662.1,NP_037662.1 terminase small subunit [Escherichia phage HK022],PF02831,gpW,NC_002166,Escherichia phage HK022
NP_037667.1,NP_037667.1 head-tail adaptor Ad1 [Escherichia phage HK022],PF11436,Protein of unknown function (DUF3199),NC_002166,Escherichia phage HK022
NP_037675.1,NP_037675.1 tail protein- partial [Escherichia phage HK022],PF06992,Replication protein P,NC_002166,Escherichia phage HK022
NP_037680.1,NP_037680.1 gp20 [Escherichia phage HK022],PF13974,YebO-like protein,NC_002166,Escherichia phage HK022
NP_037687.1,NP_037687.1 excisionase [Escherichia phage HK022],PF07825,Excisionase-like protein,NC_002166,Escherichia phage HK022
NP_037692.1,NP_037692.1 gene O protein [Escherichia phage HK022],PF04492,Bacteriophage replication protein O,NC_002166,Escherichia phage HK022
NP_037709.1,NP_037709.1 Gp15 [Escherichia phage HK97],PF04347,Flagellar biosynthesis protein FliO,NC_002167,Escherichia phage HK97
NP_037730.1,NP_037730.1 CIII anti-termination [Escherichia phage HK97],PF03466,LysR substrate binding domain,NC_002167,Escherichia phage HK97
NP_037737.1,NP_037737.1 CII-like transcriptional activator [Escherichia phage HK97],PF06322,Phage NinH protein,NC_002167,Escherichia phage HK97
NP_037738.1,NP_037738.1 Gp53 [Escherichia phage HK97],PF06635,Type 3 secretion system stator protein,NC_002167,Escherichia phage HK97
NP_037742.1,NP_037742.1 Gp60 [Escherichia phage HK97],PF17466,Family of unknown function,NC_002167,Escherichia phage HK97
NP_038315.1,NP_038315.1 site-specific recombination directionality factor RDF [Streptococcus phage 7201],PF09200,Monellin,NC_002185,Streptococcus phage 7201
NP_039669.1,NP_039669.1 Hypothetical Protein PBI_L5_2 [Fromanvirus L5],PF02917,Pertussis toxin subunit 1,NC_001335,Fromanvirus L5
NP_039728.1,NP_039728.1 site-specific recombination directionality factor RDF [Fromanvirus L5],PF20494,Lipoprotein YfjS/YafY domain,NC_001335,Fromanvirus L5
NP_040607.1,NP_040607.1 HNH endonuclease [Escherichia phage Lambda],PF02017,CIDE-N domain,NC_001416,Escherichia phage Lambda
