cluster_ID_function
NP_037662.1:terminase small subunit
NP_037667.1:head-tail adaptor Ad1
NP_037675.1:tail protein partial
NP_037680.1:gp20
NP_037687.1:excisionase
NP_037709.1:Gp15
NP_037730.1:CIII anti-termination
NP_037737.1:CII-like transcriptional activator
NP_037738.1:Gp53
NP_037742.1:Gp60
NP_038315.1:site-specific recombination directionality factor RDF
NP_039669.1:Hypothetical Protein PBI_L5_2
NP_040589.1:head closure Hc1
NP_040606.1:ea47
NP_040607.1:HNH endonuclease
NP_040613.1:hypothetical protein lambdap37
NP_040620.1:CIII anti-termination
NP_040623.1:hypothetical protein lambdap47
NP_040632.1:DNA replication protein
NP_040643.1:hypothetical protein lambdap73
NP_040720.1:hypothetical protein H3027_gp07
NP_040736.1:YgiT-type zinc finger protein
NP_040738.1:hypothetical protein H3027_gp25
NP_041978.1:hypothetical protein T7p25
NP_041979.1:hypothetical protein T7p26
NP_041990.1:DUF2717 domain-containing protein
NP_042312.1:hypothetical protein bIL67_gp05
NP_042316.1:hypothetical protein bIL67_gp09
NP_042335.1:hypothetical protein bIL67_gp28
NP_042342.1:hypothetical protein bIL67_gp35
NP_043499.1:hypothetical protein HP1p35
NP_043554.1:hypothetical protein c2p28
NP_043557.1:hypothetical protein c2p31
NP_043563.1:virion structural protein
NP_044819.1:hypothetical protein Cp-1p07
NP_044969.1:hypothetical protein sk1p24
NP_044976.1:DNA methyltransferase
NP_044982.1:hypothetical protein sk1p38
NP_044986.1:hypothetical protein sk1p42
NP_044994.1:hypothetical protein sk1p50
NP_046568.1:YolD-like family protein
NP_046590.1:hypothetical protein SPBc2p038
NP_046593.1:minor tail protein
NP_046610.1:hypothetical protein SPBc2p058
NP_046613.1:YonK family protein
NP_046637.1:helix-turn-helix transcriptional regulator
NP_046655.1:hypothetical protein SPBc2p103
NP_046707.1:hypothetical protein SPBc2p155
NP_046770.1:hypothetical protein P2p15
NP_046791.1:DUF2732 family protein
NP_046842.1:tail length tape measure protein
NP_046896.1:terminase small subunit
NP_046929.1:gp34
NP_046935.1:anti-termination protein Q-like
NP_046940.1:gp45
NP_046945.1:type II toxin-antitoxin system RelE/ParE family toxin
NP_046982.1:hypothetical protein psiM2p28
NP_047128.1:virion structural protein
NP_047148.1:e25
NP_047154.1:e19
NP_047170.1:e3
NP_047174.1:m2
NP_047933.1:tail protein
NP_047949.1:gp4a
NP_047951.1:gp5
NP_049425.1:hypothetical protein DT1p36
NP_049463.1:hypothetical protein ST933Wp03
NP_049466.1:hypothetical protein ST933Wp06
NP_049467.1:released from the phage upon host infection
NP_049477.1:CIII anti-termination
NP_049481.1:hypothetical protein ST933Wp21
NP_049495.1:P63C domain-containing protein
NP_049500.1:Shiga toxin subunit A
NP_049501.1:Shiga toxin subunit B
NP_049504.1:holin
NP_049513.1:hypothetical protein ST933Wp53
NP_049516.1:hypothetical protein ST933Wp56
NP_049520.1:tail fiber protein
NP_049521.1:hypothetical protein ST933Wp61
NP_049529.1:hypothetical protein ST933Wp69
NP_049531.1:hypothetical protein ST933Wp71
NP_049658.1:beta-glucosyltransferase
NP_049667.1:RNA polymerase binding
NP_049701.1:hypothetical protein T4p087
NP_049715.1:MobD.5 hypothetical protein
NP_049762.1:gp5.3 conserved hypothetical protein
NP_049809.1:Alt.-2 hypothetical protein
NP_049823.1:gp30.9 conserved hypothetical protein
NP_049835.1:PseT.1 conserved hypothetical protein
NP_049837.1:Rz-like spanin
NP_049876.1:gp52.1 conserved hypothetical predicted membrane protein
NP_049882.1:periplasmic protein
NP_049885.1:outer membrane protein
NP_050621.1:late transcriptional activator
NP_050646.1:tail length tape measure protein
NP_050984.1:head scaffolding protein
NP_052073.1:hypothetical protein phiYeO3-12p08
NP_052077.1:1.5 protein
NP_052086.1:3.7 protein
NP_052102.1:6.3 protein
NP_052103.1:DUF2717 domain-containing protein
NP_056696.1:gp149
NP_056701.1:gp183
NP_058455.1:hypothetical protein PVL_16
NP_058459.1:minor head protein
NP_058464.1:hypothetical protein PVL_25
NP_058468.1:Na/K ATPase
NP_058470.1:hypothetical protein PVL_31
NP_058474.1:hypothetical protein PVL_35
NP_058492.1:hypothetical protein PVL_53
NP_058496.1:hypothetical protein PVL_57
NP_059583.1:GtrA-like O-antigen conversion
NP_059600.1:superinfection exclusion
NP_059631.1:hypothetical protein P22gp06
NP_059637.1:released from the phage upon host infection
NP_059641.1:partition protein ATPase
NP_061532.2:excisionase
NP_061554.1:hypothetical protein D3p062
NP_061556.1:hypothetical protein D3p064
NP_061558.1:hypothetical protein D3p066
NP_061569.1:replication initiation protein
NP_061584.1:holin
NP_061638.1:major tail protein
NP_061646.1:DUF2951 domain-containing protein
NP_064748.1:gp10
NP_072071.1:host RecBCD nuclease inhibitor
NP_075291.1:minor tail protein
NP_075305.1:gp38
NP_075309.1:gp42
NP_075311.1:gp44
NP_075313.1:site-specific recombination directionality factor RDF
NP_075341.1:gp74
NP_075343.1:gp76
NP_075466.1:hypothetical protein phiSLTp03
NP_075467.1:hypothetical protein phiSLTp04
NP_075472.1:hypothetical protein phiSLTp09
NP_075477.1:DUF2482 family protein
NP_075483.1:hypothetical protein phiSLTp20
NP_075516.1:hypothetical protein phiSLTp54
NP_075520.1:DUF2951 domain-containing protein
NP_112052.1:hypothetical protein HK620p19
NP_112072.1:hypothetical protein HK620p39
NP_112087.1:DNA transfer protein
NP_150137.1:DNA binding protein
NP_150138.1:DNA binding protein
NP_150150.1:hypothetical protein MM1p19
NP_490610.1:Rz-like spanin
NP_490633.1:orf33
NP_490640.1:hypothetical protein phiCTXp43
NP_510931.1:RinB-like transcriptional activator
NP_510932.1:hypothetical protein phiETA_38
NP_510933.1:terminase small subunit
NP_510946.1:tail assembly chaperone
NP_510997.1:tail fiber protein
NP_511012.1:Gp29 protein
NP_511020.1:YopX family protein
NP_511028.1:Gp45 protein
NP_523298.1:gene 0.6 protein
NP_523299.1:gene 0.65 protein
NP_523345.1:Rz-like spanin
NP_523350.1:hypothetical protein T3p56
NP_536388.1:hypothetical protein phiE125p32
NP_536404.1:hypothetical protein phiE125p48
NP_536410.1:hypothetical protein phiE125p54
NP_536638.1:hypothetical protein K139p11
NP_536654.1:tail completion or Neck1 protein
NP_569788.1:hypothetical protein TM4_gp53
NP_569820.1:hypothetical protein TM4_gp87
NP_569821.1:hypothetical protein TM4_gp88
NP_570322.2:hypothetical protein P60_gp17
NP_597779.1:SieB superinfection exclusion
NP_597781.1:head protein
NP_597782.1:hypothetical protein lambdap79
NP_597920.1:transcriptional regulator
NP_640294.1:pyrophosphatase
NP_640315.1:tail appendage
NP_640324.1:hypothetical protein VpV262p63
NP_680488.1:head-tail adaptor Ad1
NP_680498.1:hypothetical protein A2p16
NP_680527.1:hypothetical protein A2p48
NP_680536.1:hypothetical protein A2p57
NP_695132.1:ORF54
NP_705645.1:gp19
NP_705671.1:gp47
